id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.38843e+17,Rental unit in Chicago · ★4.71 · 3 bedrooms · 3 beds · 1 bath,9959757,Jedidiah,0.0,North Center,41.94182102,-87.67926877,Entire home/apt,122.0,2,14,17-12-2023,1.84,8,301,14,R21000070279
8.39171e+17,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,386886002,Billie,0.0,Edgewater,41.98721769,-87.66645871,Entire home/apt,50.0,32,2,26-10-2023,0.29,1,0,2,0
8.28927e+17,Home in Chicago · ★4.71 · 2 bedrooms · 2 beds · 2 baths,276665737,Mike,0.0,Douglas,41.832539,-87.6215368,Entire home/apt,205.0,3,7,10-10-2023,0.85,1,175,7,R23000098769
8.39202e+17,Rental unit in Chicago · 1 bedroom · 2 beds · 1 bath,484957190,ChiHausK,0.0,Loop,41.88654839,-87.62582852,Entire home/apt,159.0,32,0,0,0.0,15,365,0,0
8.28943e+17,Serviced apartment in Chicago · 2 bedrooms · 2 beds · 2 baths,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,198.0,32,0,0,0.0,23,365,0,0
8.28949e+17,Serviced apartment in Chicago · 1 bedroom · 2 beds · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,132.0,32,0,0,0.0,23,365,0,0
8.39219e+17,Rental unit in Chicago · 1 bedroom · 2 beds · 1 bath,484957190,ChiHausK,0.0,Loop,41.88739409,-87.62387872,Entire home/apt,155.0,32,0,0,0.0,15,203,0,0
8.28955e+17,Serviced apartment in Chicago · 1 bedroom · 2 beds · 1 bath,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,132.0,32,0,0,0.0,23,365,0,0
8.39258e+17,Rental unit in Chicago · ★5.0 · 2 bedrooms · 2 beds · 2 baths,396270947,Jennifer,0.0,Near West Side,41.88810643,-87.64170752,Entire home/apt,144.0,32,3,31-10-2023,0.4,40,163,3,0
8.29013e+17,Serviced apartment in Chicago · 3 bedrooms · 3 beds · 3 baths,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,330.0,32,0,0,0.0,23,365,0,0
8.39669e+17,Rental unit in Chicago · 3 bedrooms · 4 beds · 2 baths,396270947,Jennifer,0.0,Near North Side,41.89019,-87.62284,Entire home/apt,459.0,32,1,05-08-2023,0.22,40,0,1,0
8.29018e+17,Serviced apartment in Chicago · 2 bedrooms · 2 beds · 2 baths,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,226.0,32,1,20-06-2023,0.16,23,365,1,0
8.39693e+17,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,396270947,Jennifer,0.0,Near West Side,41.8842142,-87.6634236,Entire home/apt,167.0,32,3,09-09-2023,0.45,40,365,3,0
